id,name,categories/0/title,rating,coordinates/latitude,coordinates/longitude,price,location/address1,location/city,location/zip_code
ny8YcGEViSGKWxo69xfiiA,Sauceman's,Barbeque,3.5,35.2139577680734,-80.8612242949982,$$,228 W Blvd,Charlotte,28203
GTB4esadYFFyLTJX9OqNdw,Dragon Court,Dim Sum,3.0,35.256935,-80.79124,$$,4520 N Tryon St,Charlotte,28213
k-drEjxKmfqllwfY90STfA,Cantina 1511,Mexican,3.5,35.17343,-80.84995,$$,4271 Park Rd,Charlotte,28209
zpGCFAt_MydbQN4EsXee6w,Banh Mi Brothers,Vietnamese,4.5,35.3035097937857,-80.7487670917075,$,230 Wt Harris Blvd,Charlotte,28262
JogUSDKa1xyG3lLEmD4Xjg,Fiamma,Italian,4.0,35.1976756,-80.8519236,$$,2418 Park Rd,Charlotte,28263
ZwYhFeyU7H8196rPQYmLUg,Vintner Wine Market,"Beer, Wine & Spirits",4.0,35.09631,-80.77948,$$,8128 Providence Rd,Charlotte,28277
9TCzxlrOZSIFcBlvHIUgFA,PePeRo,Korean,4.0,35.12465,-80.7302799,$$,10920 Monroe Rd,Matthews,28105
v0ubf7h2E0OfwGGfkI1S4w,Que Onda Tacos Matthews,Mexican,4.5,35.0843999869986,-80.731410151906,$$,3016 Weddington Rd,Charlotte,28105
a0Jm-rlHOKk_1fm4hzxskg,Wan Fu,Chinese,4.0,35.0886192321777,-80.8615798950195,$$,10719 Kettering Dr,Charlotte,28226
aO1gAp41n8w8zpxTiHdLNA,Mert's Heart & Soul,Southern,3.5,35.2275006314682,-80.8403795540396,$$,214 N College St,Charlotte,28202
T6r1CjkbVHMsGpR2dlyXuQ,Sushiya Japan,Japanese,4.0,35.09631,-80.77948,$$,8200 Providence Rd,Charlotte,28277
AHosGBveeXx9YjsQvdJgeg,Bentley's on 27,French,4.0,35.22508,-80.84356,$$$$,201 S College St,Charlotte,28244
gJttMZnv0Gy9OlLhNzPbQQ,LittleSpoon,Breakfast & Brunch,3.5,35.1742605839744,-80.8402330343933,$$,2820 Selwyn Ave,Charlotte,28209
J7fekWie4ZwR03AZVBisFw,Cafe South,Breakfast & Brunch,4.0,35.1359891775362,-80.9049696592624,$$,7901 Forest Pine Dr,Charlotte,28273
9dqdzRzjSfbnMvjUGqWBAw,Midnight Diner,Diners,4.0,35.2195687,-80.852309,$,115 E Carson Blvd,Charlotte,28203
8T5JnB9qL5y8RaCHH5zKSQ,Bean Vegan Cuisine,Vegetarian,3.5,35.204441,-80.792183,$$,3001 E Independence Blvd,Charlotte,28205
_ruizXa-KyFO5mNA0p3nBA,Webb Custom Kitchen,American (New),4.5,35.2625,-81.183563,$$,182 S South St,Gastonia,28052
jNQnscvgn_dMTS954qW_9Q,The World Famous Open Kitchen,Italian,3.0,35.229305267334,-80.8633499145508,$$,1318 W Morehead St,Charlotte,28208
osSwv6CJy5hDKQdOKeyTow,Ru San's,Sushi Bars,4.0,35.1977376810067,-80.8527190502625,$$,2440 Park Rd,Charlotte,28203
Y84fM25GsIWfS7E0dMIKDQ,Cedar Street Tavern,American (Traditional),3.5,35.23344,-80.84901,$$,120 N Cedar St,Charlotte,28202
WCqcYtJ4rUxA4bIzjOfzqg,Vapiano,Italian,3.5,35.226145,-80.844234,$$,201 S Tryon St,Charlotte,28202
c4KXpCou6HBOgfKp2z2_hw,Terrace - Ballantyne,Southern,3.5,35.05369,-80.85146,$$,14815 Ballantyne Village Way,Charlotte,28277
jUF7BSWB2s7Xgp5PbISbsg,Caribbean Hut,Caribbean,3.5,35.31711,-80.73994,$$,9609 N Tryon St,Charlotte,28262
VkO8Ky0NTPr5XJzVvWLDYg,Dorian's Deli & Grill,Delis,4.0,35.11752,-80.70259,$,1240 Matthews Mint Hill Rd,Matthews,28105
Gmdb6fOoPr-SZt0soRjwzA,Quidleys Delight,Caribbean,4.5,35.31434,-80.70251,$$,10901 University City Blvd,Charlotte,28262
hWIQ6rl1uub-WVGTySvOsw,Cook Out,Burgers,3.5,35.1216,-80.9499,$,13317 York Center Dr,Charlotte,28273
OHAMMo1sdmvFw9SsS-AZQg,Chicken Box Cafe,Soul Food,3.0,35.280399,-80.794036,$$,1331 W Sugar Creek Rd,Charlotte,28262
1ylgrtS3iSNaf3V68kw4bw,Local Dish,Southern,4.5,35.0078170041275,-80.9441623091698,$$,217 Main St,Fort Mill,29715
MtzjOi57BkQrqF8wqNOyHg,Nana's Soul Food Kitchen,Soul Food,4.0,35.1905,-80.92202,$$,2908 Oak Lake Blvd,Charlotte,28208
PdfyzKoGrCoFFhPlnOpqfw,Pho Cali Thai,Vietnamese,3.5,35.1338376386944,-80.93912919679,$$,9107 S Tryon St,Charlotte,28273
AuIiqDeL65kczmiFSkAWrA,Maggiano's Little Italy,Italian,3.5,35.152157023777,-80.8302691113617,$$,4400 Sharon Rd,Charlotte,28211
KU7eFCdA47v6zeKF3a7j6A,New South Kitchen & Bar,Southern,4.0,35.096896,-80.77876,$$,8140 Providence Rd,Charlotte,28277
5gl2GLgimBz1-Q-uXji_Rw,Milano's Pizza & Pasta,Italian,3.5,35.12835,-80.94309,$$,9640 S Tryon St,Charlotte,28273
mC39IrCp36QIVFRZIw9PTQ,Seoul Food Meat Company,Korean,4.0,35.2192611694336,-80.8578567504883,$$,1400 S Church St,Charlotte,28203
WPkRg0eaJZFbyXm0uNb1ZA,Cabo's Mexican Cuisine and Cantina,Mexican,4.0,35.0863331,-80.8462543,$$,6676 Carmel Rd,Charlotte,28226
biCO6zc-opMp-uJ6rkTENA,Bonchon - Woodlawn,Korean,3.5,35.172213623598,-80.848964631997,$$,1600 E Woodlawn Rd,Charlotte,28209
NwWYSYGHFyHQMmsXu0SiYA,The Burger Company,Burgers,3.0,35.22959,-80.86561,$$,1500C W Morehead St,Charlotte,28208
yXiDD18UV49-7UhA6dWjAw,Giacomo's Pizzeria and Italian Restaurant,Pizza,4.0,35.32928,-80.742,$$,10230 Berkeley Place Dr,Charlotte,28262
QeDkfLmXVguytF3Of9zg-Q,Boudreaux's Louisiana Kitchen,Cajun/Creole,3.5,35.24761,-80.80403,$$,501 E 36th St,Charlotte,28205
RApd_uvsR3dDNekgc1Emrw,Boiling Pot,Fondue,4.0,35.350323,-80.842886,$$,7010 Smith Corners Blvd,Charlotte,28269
NMw6zTXoZDEzNchVIfL1pQ,Don Pedro Mexican Restaurant,Mexican,3.5,35.1358576315669,-80.937357992332,$$,8943 S Tryon St,Charlotte,28273
Oi-u4KqrcZbIWSYKnh7mJA,Fortune Cookie II,Chinese,3.5,35.1369323730469,-80.9367980957031,$,8943 S Tryon St,Charlotte,28273
WlMegJTLkMdo6FO6Vfnq0Q,Sunset Soul Food,Seafood,3.5,35.3035,-80.85771,$$,5009 Beatties Ford Rd,Charlotte,28217
dk1wKOtlFi212DDMNr1pXg,Courtyard by Marriott Charlotte Ballantyne,Hotels,4.0,35.05942,-80.85061,$$$,15635 Don Lochman Lane,Charlotte,28227
yMopev-RPxfEXgqkJOvCGA,Cajun Queen,Cajun/Creole,4.0,35.21449,-80.82111,$$,1800 E 7th St,Charlotte,28204
S-V-belb3Gv7qrNVftLHwQ,Kabuto Japanese Steakhouse and Sushi Bar,Sushi Bars,2.0,35.162263,-80.886091,$$,446 Tyvola Rd,Charlotte,28217
iyFS4twFjCKfaKl7kUl3sg,Harry's Grille & Tavern,Bars,4.0,35.13807,-80.93319,$$,2127 Ayrsley Town Blvd,Charlotte,28273
Nk2gNrMDZa9_7gmT3W-zjQ,Thai Taste at University,Thai,3.5,35.33703,-80.75653,$$,2025 E Arbors Dr,Charlotte,28262
y1eeVRfJa22CCpUCeNfrSw,Basil Thai Cuisine,Thai,3.5,35.229,-80.84242,$$,210 N Church St,Charlotte,28202
dk7VpR5Xh7t28U99ASZz7A,Brazz Carvery & Brazilian Steakhouse,Steakhouses,3.5,35.2231876,-80.8466272,$$$,500 S College St,Charlotte,28202
EbgUkmDxPUa2fr0rc8EFJQ,P.F. Chang's,Chinese,3.0,35.1465562987188,-80.8267944753231,$$,6809-F Phillips Place Ct,Charlotte,28210
Ul2AUiQpsn2lz9DtBKMJcA,Fairfield Inn & Suites by Marriott Charlotte Airport,Hotels,3.0,35.181305,-80.914393,$$,2220 W Tyvola Rd,Charlotte,28217
UByM7N0mF-ylIGUuIWHCtA,Sullivan's Steakhouse,Steakhouses,3.5,35.2101676933474,-80.8599308916656,$$$,1928 South Blvd,Charlotte,28203
bMTqFQqYoeANon4iVlatpQ,Jimmie's Restaurant,American (Traditional),3.0,35.1714859008789,-80.660774230957,$,7024 Brighton Park Dr,Charlotte,28227
NMO1hExBvamoZ9RKEVNcYg,McCormick & Schmick's Seafood & Steaks,Seafood,3.0,35.2265734,-80.8444773,$$$,200 S Tryon St,Charlotte,28202
v4HpZFOU3mvIeuHLRSIi7g,Bahn Thai,Thai,4.0,35.0708159675029,-80.8440170064569,$$,12206 Copper Way,Charlotte,28277
SQEA7XcYZ6ygpuSnCSy1IQ,Texas Roadhouse,Steakhouses,3.5,35.1259804,-80.7062836,$$,10450 E. Independence Blvd.,Matthews,28105
LpAdf_z1A9REhTQjr1B4cA,McCormick & Schmick's Seafood & Steaks,Seafood,3.5,35.1529699850775,-80.8343189539863,$$,4335 Barclay Downs Dr,Charlotte,28209
YZjqRPrLZBOh2Lz5iVbuHA,Taco Bell,Mexican,3.5,35.084106,-80.878954,$,10917 Carolina Place Pkwy,Pineville,28134
